Index,Country_Code,Country_Name,Year,age_dependency_ratio,agricultural_land,fertility_rate,GDP,labor_force ,life_expectancy,natural_resources_rents,energy_consumption_per_capita  ,population ,GHG_with_LUCF  ,deaths_air_pollute,GHG_without_LUCF  
111,LSO,Lesotho,1/1/95,83.2,76.55,4.14,1001889857,835193,56.72,4.07,560.04,1934079,1990000.01,197.77,1970000.03
112,MWI,Malawi,1/1/95,97.41,45.4,6.42,1397457932,4387968,43.64,18.31,583.22,10112816,11819999.69,248.22,3329999.92
113,SUR,Suriname,1/1/95,67.78,0.57,3.07,691590497.7,132099,65.34,9.59,22854.07,434490,6679999.83,84.07,3359999.9
114,WSM,Samoa,1/1/95,80.47,18.02,4.8,224865731.4,58274,69.3,2.02,3505.88,174902,500000,177.95,389999.99
115,AGO,Angola,1/1/96,96.65,37.17,6.85,7526446606,5910932,46.03,46,1703.65,14383350,81519996.64,257.29,54669998.17
116,ARE,United Arab Emirates,1/1/96,35.97,5.45,3.23,73571233996,1436159,72.77,20.54,194224.11,2572735,101709999.1,187.72,101709999.1
117,ETH,Ethiopia,1/1/96,99.46,30.5,6.92,8547939731,24648333,48.92,28.67,196.36,59347649,95300003.05,302.16,68069999.69
118,LSO,Lesotho,1/1/96,82.23,76.61,4.07,946123275.9,847490,55.23,4.43,560.71,1955098,1940000.06,194.58,1940000.06
119,MWI,Malawi,1/1/96,96.61,46.46,6.31,2281034131,4499616,43.44,10.64,580.42,10310528,11899999.62,246.73,3480000.02
120,SUR,Suriname,1/1/96,66.46,0.57,3.03,861411471.3,135334,65.67,10.64,22105.61,443834,6789999.96,80.55,3400000.1
121,WSM,Samoa,1/1/96,80.86,18.02,4.74,249908970.7,58489,69.59,1.85,3547.96,176713,519999.98,175.78,410000
122,AGO,Angola,1/1/97,96.48,37.29,6.79,7648377413,6121075,46.31,39.26,1850.85,14871146,80519996.64,251.61,55459999.08
123,ARE,United Arab Emirates,1/1/97,34.97,5.56,3.06,78839008445,1535114,72.94,17.8,189887.95,2746119,104949996.9,187.75,104949996.9
124,ETH,Ethiopia,1/1/97,99.87,30.49,6.85,8589211390,25506779,49.51,27.08,191.77,61233480,99290000.92,295.34,70230003.36
125,LSO,Lesotho,1/1/97,81.12,76.71,3.99,997996028.6,858952,53.59,4.03,546.07,1972579,1919999.96,192.71,1909999.97
126,MWI,Malawi,1/1/97,95.89,46.99,6.26,2663234934,4611063,43.13,8.3,572.58,10512678,11859999.66,245.65,3539999.96
127,SUR,Suriname,1/1/97,65.03,0.56,2.99,926422500,138643,65.7,8.87,22148.38,452887,6769999.98,80.5,3369999.89
128,WSM,Samoa,1/1/97,81.35,18.02,4.66,285475591.9,58974,69.88,1.3,3547.57,178543,519999.98,173.69,410000
129,AGO,Angola,1/1/98,96.2,37.42,6.73,6506229607,6337218,45.06,18.38,1612.08,15366864,89910003.66,248.65,59689998.63
130,ARE,United Arab Emirates,1/1/98,33.41,5.6,2.91,75674336283,1644809,73.07,11.84,182844.3,2921130,106989997.9,185.63,106989997.9
131,ETH,Ethiopia,1/1/98,100.4,30.51,6.75,7818224906,26365807,49.93,31.21,241.91,63136493,105000000,290.02,76069999.69
132,LSO,Lesotho,1/1/98,79.83,76.71,3.86,928458206,869414,51.78,4.63,471.96,1985639,1909999.97,196.64,1830000.04
133,MWI,Malawi,1/1/98,95.43,48.58,6.24,1750584265,4722122,42.85,12.9,595.04,10732456,12109999.66,246.12,3730000.02
134,ARE,United Arab Emirates,1/1/00,29.99,7.7,2.73,1.04E+11,1889779,74.38,21.96,163580.66,3275333,109019996.6,188.93,109019996.6
135,SUR,Suriname,1/1/98,63.52,0.56,2.96,1110850000,142033,65.59,4.79,21710.32,461749,6829999.92,85.33,3369999.89
136,WSM,Samoa,1/1/98,81.91,18.02,4.61,269481523.2,59362,70.17,1.29,3593.41,180385,540000.02,171.14,430000.01
137,AGO,Angola,1/1/99,95.91,37.54,6.68,6152922943,6557385,45.39,40.03,1742.25,15870753,87510002.14,244.76,58639999.39
138,ETH,Ethiopia,1/1/00,100.81,30.66,6.56,8242392104,28200765,50.54,18.49,287.99,67031867,102139999.4,273.74,72739997.86
139,ARE,United Arab Emirates,1/1/99,31.67,7.27,2.79,84445473111,1763485,73.67,14.68,173803.53,3097563,108830001.8,184.62,108830001.8
140,LSO,Lesotho,1/1/00,77.26,76.88,3.66,887295267.9,880394,48.43,3.46,1241.82,1998630,2289999.96,210.24,2289999.96
141,MWI,Malawi,1/1/00,96.17,50.17,6.04,1743506531,4953623,44.52,10.07,606.55,11229387,12109999.66,240.8,3880000.11
142,SUR,Suriname,1/1/00,60.48,0.56,2.9,947671969.7,151713,65.51,12.24,17458.83,478998,6179999.83,91.38,2720000.03
143,WSM,Samoa,1/1/00,83.09,16.96,4.51,258856139.8,59884,70.75,0.45,5050.98,184008,540000.02,168.13,430000.01
144,ETH,Ethiopia,1/1/99,100.73,30.68,6.65,7700833482,27260673,49.43,19.6,278.33,65077579,105849998.5,283.77,75639999.39
145,LSO,Lesotho,1/1/99,78.53,76.71,3.74,912771290.6,878060,50.08,3.37,685.75,1994243,2369999.89,201.1,2359999.9
146,MWI,Malawi,1/1/99,95.6,49.64,6.15,1775921718,4836563,43.57,9.9,574.52,10973956,12140000.34,244.8,3769999.98
147,SUR,Suriname,1/1/99,61.97,0.56,2.92,886290697.7,145457,65.44,7.76,21439.82,470458,6889999.87,89.67,3410000.09
148,ETH,Ethiopia,1/1/01,100.61,30.61,6.46,8231326016,29203264,51.04,18.15,304.55,69018932,108389999.4,263.17,76540000.92
149,LSO,Lesotho,1/1/01,76.1,76.88,3.66,825706961.2,880444,46.85,3.61,1262.75,1999473,2269999.98,213.69,2269999.98
150,WSM,Samoa,1/1/99,82.51,17.95,4.56,255410018,59735,70.46,1.07,3641.29,182211,540000.02,169.94,430000.01
151,MMR,Myanmar,1/1/01,57.1,16.74,2.78,6220270632,22642341,60.42,0.17,963.84,46014826,201759994.5,309.8,73050003.05
152,MWI,Malawi,1/1/01,96.79,51.23,5.99,1716502862,5073264,45.9,9.88,581.97,11498818,12140000.34,232.98,3700000.05
153,SUR,Suriname,1/1/01,59.14,0.55,2.87,834279357.8,157994,65.48,11.46,16939.62,487394,6599999.91,91.62,2799999.95
154,WSM,Samoa,1/1/01,83.71,16.96,4.47,266299591.5,59942,71.02,0.54,5352.7,185530,569999.99,166.67,460000.01
155,ETH,Ethiopia,1/1/02,100.08,30.5,6.37,7850809498,30286923,51.52,23.19,303.85,71073215,117900001.5,254.83,85839996.34
156,LSO,Lesotho,1/1/02,75.03,75.89,3.68,775780697.7,878634,45.6,4.65,1305.02,1997534,2089999.91,219.78,2089999.91
157,MMR,Myanmar,1/1/02,56.3,16.72,2.78,6110632858,22779507,60.73,0.13,1107.38,46480230,200539993.3,301.88,73540000.92
158,MWI,Malawi,1/1/02,97.6,51.23,5.96,3495748398,5191808,47.22,5.78,561.13,11784498,12510000.23,228.15,4050000.19
159,SUR,Suriname,1/1/02,57.99,0.47,2.84,1093574468,164227,65.53,7.73,18476.68,495666,6059999.94,89.53,2259999.99
160,ETH,Ethiopia,1/1/03,99.35,31.61,6.24,8623691300,31429892,52.53,36.14,319.22,73168838,116339996.3,246.87,83989997.86
161,LSO,Lesotho,1/1/03,74.02,75.89,3.64,1157832935,875148,44.53,5.47,1332.71,1993030,2150000.1,227.73,2150000.1
162,MDV,Maldives,1/1/03,66.28,40,2.34,1052121055,103243,74.06,0.01,8392.21,297226,630000,78.71,630000
163,MMR,Myanmar,1/1/03,55.62,16.8,2.7,7754647428,22856581,60.98,0.12,1236.49,46924293,212149993.9,293.92,77690002.44
164,MWI,Malawi,1/1/03,98.47,52.82,5.94,3208837077,5314368,48.79,8.61,574.7,12087965,12979999.54,223.54,4309999.94
165,SUR,Suriname,1/1/03,57.07,0.52,2.81,1274190311,170381,65.6,7.25,16105.43,503780,6289999.96,84.15,2450000.05
166,ETH,Ethiopia,1/1/04,98.56,29.33,6.11,10131187261,32612713,53.24,27.81,331.66,75301026,118470001.2,239.01,86139999.39
167,LSO,Lesotho,1/1/04,73.09,76.22,3.52,1511236656,869678,43.71,3.86,1325.43,1985384,2089999.91,234.42,2089999.91
168,MDV,Maldives,1/1/04,62.75,36.67,2.28,1226829563,106760,73.54,0,10799.32,302135,850000.02,70.25,850000.02
169,MMR,Myanmar,1/1/04,54.92,16.96,2.62,9390855298,22925155,61.25,0.1,1285.36,47338446,225229995.7,286.84,80180000.31
170,MWI,Malawi,1/1/04,99.32,52.82,5.93,3476094499,5444586,50.45,6.35,596.95,12411342,12850000.38,219.19,4349999.91
171,SUR,Suriname,1/1/04,56.64,0.5,2.78,1484092538,175450,66.42,9.39,18010.42,510572,6639999.87,78.57,2660000.09
172,ETH,Ethiopia,1/1/05,97.74,29.76,5.97,12401139454,33834089,54.01,23.28,370.19,77469940,121970001.2,232.08,89440002.44
173,LSO,Lesotho,1/1/05,72.18,76.65,3.44,1682350935,863588,43.23,3.43,1575.43,1977424,2259999.99,239.7,2259999.99
174,MDV,Maldives,1/1/05,59.39,30,2.24,1163362438,110259,74.75,0,9621.82,307018,829999.98,63.89,829999.98
175,MMR,Myanmar,1/1/05,54.17,17.24,2.55,10588433069,22987611,61.6,0.08,1642.79,47724471,216649993.9,277.09,83400001.53
176,MWI,Malawi,1/1/05,100.18,54.94,5.91,3655909664,5581621,52.04,6.72,565.2,12755648,13170000.08,212.56,4460000.04
177,SUR,Suriname,1/1/05,56.57,0.47,2.75,1793388732,179549,67,15.69,18127.87,516220,6820000.17,72.84,2849999.91
178,ETH,Ethiopia,1/1/06,96.76,30.32,5.85,15280861835,34936339,55.15,18.83,394.91,79691050,126790000.9,223.18,94360000.61
179,GUY,Guyana,1/1/06,64.19,5.83,2.8,2379818383,276658,65.67,9.71,7341.68,758367,12359999.66,108.82,3269999.98
180,LSO,Lesotho,1/1/06,71.26,75.99,3.43,1800105590,860246,42.91,3.07,1668.38,1976780,2200000.05,242.91,2200000.05
181,MDV,Maldives,1/1/06,55.75,23.33,2.23,1575200391,114853,75.13,0.01,11906.83,314401,1000000,58.77,1000000
182,MMR,Myanmar,1/1/06,53.4,17.75,2.5,11863016315,23051828,61.89,0.08,1538.98,48088274,221369995.1,268.48,86550003.05
183,MWI,Malawi,1/1/06,100.94,56.06,5.84,3998020177,5646652,53.24,6.71,567.68,13118307,13170000.08,207.6,4739999.77
184,PNG,Papua New Guinea,1/1/06,70.56,2.3,4.15,8355006707,2402441,61.92,27.86,3393.2,6708217,49159999.85,292.9,14760000.23
185,ETH,Ethiopia,1/1/07,95.67,31.08,5.74,19707616773,36102316,56.43,21.91,424.85,81996185,136800003.1,214.03,104239997.9
186,GUY,Guyana,1/1/07,62.7,5.85,2.76,2730971150,277906,66.25,10.81,9106.51,756521,12670000.08,106.56,3579999.92
187,MDV,Maldives,1/1/07,51.85,23.33,2.3,1868383461,120876,75.69,0.01,11930.13,325126,1000000,54.68,1000000
188,MMR,Myanmar,1/1/07,52.64,18.34,2.48,15591182545,23132651,62.37,0.07,1648.79,48445647,230630004.9,258.05,89080001.83
189,MWI,Malawi,1/1/07,101.47,52.87,5.74,4432937046,5711029,53.95,7.9,550.19,13495463,13699999.81,201.26,5150000.1
